Date,Confirmed Cases,Confirmed Deaths,Maximum,Minimum ,Average,City,Lat,Long,City,Population
2/1/20,0,0,75,31,53,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273954
2/2/20,0,0,77,31,54,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273955
2/3/20,0,0,73,54,63.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273956
2/4/20,0,0,79,47,63,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273957
2/5/20,0,0,47,34,40.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273958
2/6/20,0,0,55,32,43.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273959
2/7/20,0,0,76,28,52,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273960
2/8/20,0,0,70,34,52,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273961
2/9/20,0,0,74,61,67.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273962
2/10/20,0,0,72,48,60,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273963
2/11/20,0,0,48,44,46,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273964
2/12/20,0,0,58,37,47.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273965
2/13/20,0,0,54,35,44.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273966
2/14/20,0,0,59,29,44,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273967
2/15/20,0,0,65,31,48,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273968
2/16/20,0,0,77,43,60,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273969
2/17/20,0,0,80,49,64.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273970
2/18/20,0,0,73,50,61.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273971
2/19/20,0,0,51,47,49,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273972
2/20/20,0,0,51,42,46.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273973
2/21/20,0,0,54,36,45,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273974
2/22/20,0,0,63,38,50.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273975
2/23/20,0,0,70,54,62,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273976
2/24/20,0,0,70,44,57,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273977
2/25/20,0,0,68,39,53.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273978
2/26/20,0,0,55,29,42,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273979
2/27/20,0,0,63,24,43.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273980
2/28/20,0,0,74,31,52.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273981
2/29/20,0,0,75,35,55,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273982
3/1/20,0,0,77,54,65.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273983
3/2/20,0,0,78,63,70.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273984
3/3/20,0,0,75,60,67.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273985
3/4/20,0,0,68,54,61,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273986
3/5/20,0,0,75,48,61.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273987
3/6/20,0,0,70,42,56,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273988
3/7/20,0,0,64,40,52,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273989
3/8/20,0,0,76,40,58,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273990
3/9/20,0,0,69,62,65.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273991
3/10/20,0,0,81,57,69,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273992
3/11/20,0,0,84,64,74,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273993
3/12/20,0,0,86,67,76.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273994
3/13/20,2,0,83,68,75.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273995
3/14/20,3,0,84,70,77,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273996
3/15/20,3,0,71,60,65.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273997
3/16/20,6,0,75,60,67.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273998
3/17/20,10,0,81,67,74,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1273999
3/18/20,23,0,83,70,76.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274000
3/19/20,41,0,82,69,75.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274001
3/20/20,58,0,73,53,63,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274002
3/21/20,62,0,55,49,52,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274003
3/22/20,62,0,68,54,61,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274004
3/23/20,79,0,83,65,74,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274005
3/24/20,86,0,92,53,72.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274006
3/25/20,98,0,88,52,70,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274007
3/26/20,119,0,87,67,77,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274008
3/27/20,160,1,88,68,78,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274009
3/28/20,179,1,79,47,63,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274010
3/29/20,200,1,79,46,62.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274011
3/30/20,206,2,72,63,67.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274012
3/31/20,244,2,73,51,62,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274013
4/1/20,244,2,77,46,61.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274014
4/2/20,351,3,72,60,66,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274015
4/3/20,351,3,74,47,60.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274016
4/4/20,430,4,53,46,49.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274017
4/5/20,484,6,67,51,59,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274018
4/6/20,502,6,80,59,69.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274019
4/7/20,502,4,86,69,77.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274020
4/8/20,554,7,91,71,81,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274021
4/9/20,597,7,91,65,78,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274022
4/10/20,642,7,75,60,67.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274023
4/11/20,690,9,78,56,67,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274024
4/12/20,744,9,87,57,72,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274025
4/13/20,774,9,63,44,53.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274026
4/14/20,856,11,65,45,55,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274027
4/15/20,900,14,69,41,55,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274028
4/16/20,977,17,77,42,59.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274029
4/17/20,1074,21,73,56,64.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274030
4/18/20,1074,21,62,55,58.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274031
4/19/20,1092,23,94,57,75.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274032
4/20/20,1108,25,88,51,69.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274033
4/21/20,1174,26,86,64,75,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274034
4/22/20,1233,27,81,64,72.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274035
4/23/20,1312,31,87,56,71.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274036
4/24/20,1379,32,97,50,73.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274037
4/25/20,1379,32,81,53,67,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274038
4/26/20,1396,36,86,47,66.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274039
4/27/20,1412,39,89,52,70.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274040
4/28/20,1464,42,92,74,83,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274041
4/29/20,1539,42,84,54,69,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274042
4/30/20,1654,47,86,51,68.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274043
5/1/20,1683,51,88,51,69.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274044
5/2/20,1714,51,91,67,79,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274045
5/3/20,1756,52,93,69,81,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274046
5/4/20,1816,53,95,71,83,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274047
5/5/20,1876,58,86,72,79,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274048
5/6/20,1946,57,86,55,70.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274049
5/7/20,2002,59,83,51,67,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274050
5/8/20,2071,60,88,63,75.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274051
5/9/20,2095,60,77,54,65.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274052
5/10/20,2127,60,81,50,65.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274053
5/11/20,2171,65,85,53,69,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274054
5/12/20,2235,71,74,65,69.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274055
5/13/20,2288,72,88,61,74.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274056
5/14/20,2345,74,91,71,81,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274057
5/15/20,2381,77,92,66,79,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274058
5/16/20,2425,77,83,63,73,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274059
5/17/20,2425,77,91,64,77.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274060
5/18/20,2459,77,94,62,78,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274061
5/19/20,2537,79,95,65,80,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274062
5/20/20,2595,81,94,75,84.5,Austin,30.33432034,-97.7853562,"Travis, Texas, US",1274063
2/1/20,1,0,55,37,46,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252782
2/2/20,1,0,44,32,38,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252783
2/3/20,1,0,43,35,39,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252784
2/4/20,1,0,41,32,36.5,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252785
2/5/20,1,0,50,41,45.5,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252786
2/6/20,1,0,51,46,48.5,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252787
2/7/20,1,0,52,43,47.5,Seattle,47.49137892,-121.8346131,"King, Washington, US",2252788
