,"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,
1,http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,
2,Compendium of Tourism Statistics - Basic data and indicators,,,,,,
3,Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,
4,COD.,COUNTRY,2014,2015,2016,2017,2018
5,,,,,,,
6,4,Afghanistan,..,..,..,..,..
7,8,Albania,3673,4131,4736,5118,5927
8,12,Algeria,2301,1710,2039,2451,2657
9,16,American Samoa,51.6,47.1,38.3,42.3,51.8
10,20,Andorra,7797,7850,8025,8152,8328
11,24,Angola,..,..,..,..,..
12,660,Anguilla,177,186,176,151,87
13,28,Antigua And Barbuda,771,894,874,1040,1062
14,32,Argentina,..,..,9986,9964,10394
15,51,Armenia,..,..,..,..,..
16,533,Aruba,1739,1832,1758,1863,1897
17,36,Australia,6922,7449,8269,8815,9246
18,40,Austria,..,..,..,..,..
19,31,Azerbaijan,2298,2006,2249,2697,2850
20,44,Bahamas,6320,6112,6265,6136,6622
21,48,Bahrain,10452,9670,10158,11374,12045
22,50,Bangladesh,..,..,..,..,..
23,52,Barbados,1079,1179,1227,1345,1356
24,112,Belarus,5375,4386,10935,11060,11502
25,56,Belgium,..,..,..,..,..
26,84,Belize,1289,1299,1391,1441,1697
27,204,Benin,265,279,292,307,322
28,60,Bermuda,580,597,642,688,766
29,64,Bhutan,..,..,..,..,..
30,68,"Bolivia, Plurinational State Of",..,..,..,..,..
31,534,Bonaire,..,..,..,..,..
32,70,Bosnia And Herzegovina,..,..,..,..,..
33,72,Botswana,..,1660,1712,1775,..
34,76,Brazil,..,..,..,..,..
35,92,British Virgin Islands,773,922,1124,..,..
36,96,Brunei Darussalam,..,..,..,4316,4521
37,100,Bulgaria,9409,9317,10604,11596,12368
38,854,Burkina Faso,..,..,..,..,..
39,108,Burundi,..,..,..,..,..
40,132,Cabo Verde,..,..,..,..,..
41,116,Cambodia,..,..,..,..,..
42,120,Cameroon,822,897,994,1081,..
43,124,Canada,25558,27555,30142,31081,31274
44,136,Cayman Islands,1993,2102,2097,2147,2384
45,140,Central African Republic,..,..,..,..,..
46,148,Chad,..,..,..,..,..
47,152,Chile,4601,5487,6712,7621,6603
48,156,China,128499,133820,141774,153260,158606
49,170,Colombia,2866,3252,3559,3976,4282
50,174,Comoros,..,..,..,..,..
51,178,Congo,229,224,213,151,158
52,180,"Congo, Democratic Republic Of The",..,..,..,..,..
53,184,Cook Islands,..,..,..,..,..
54,188,Costa Rica,2760,2899,3172,3262,3300
55,384,Côte D'Ivoire,471,1441,1583,1800,1965
56,191,Croatia,51168,55858,57587,59238,57668
57,192,Cuba,3014,3540,4009,4654,4712
58,535,Curaçao,1129,1072,944,1058,1210
59,196,Cyprus,2558,2780,3286,3750,4024
60,203,Czech Republic,27166,29604,32519,34701,..
61,208,Denmark,28070,28209,28692,30736,30801
62,262,Djibouti,..,..,..,..,..
63,212,Dominica,370,358,356,230,198
64,214,Dominican Republic,5576,6129,6769,7296,7576
65,218,Ecuador,1695,1676,1569,1806,2535
66,818,Egypt,9878,9328,5399,8292,11346
67,222,El Salvador,1886,1973,2052,2247,2536
68,226,Equatorial Guinea,..,..,..,..,..
69,232,Eritrea,119,114,142,..,..
70,233,Estonia,5804,5696,5942,6145,6071
71,748,Eswatini,1325,1256,1279,1343,1277
72,230,Ethiopia,..,..,..,..,..
73,242,Fiji,781,869,963,1027,1058
74,246,Finland,..,..,..,..,..
75,250,France,206599,203302,203042,207274,211998
76,254,French Guiana,..,..,..,..,..
77,258,French Polynesia,228,239,241,254,264
78,266,Gabon,..,..,..,..,..
